month,matlab
2009-01-31,19
2009-02-28,27
2009-03-31,24
2009-04-30,32
2009-05-31,42
2009-06-30,44
2009-07-31,39
2009-08-31,34
2009-09-30,51
2009-10-31,71
2009-11-30,117
2009-12-31,99
2010-01-31,99
2010-02-28,111
2010-03-31,123
2010-04-30,187
2010-05-31,207
2010-06-30,146
2010-07-31,152
2010-08-31,140
2010-09-30,165
2010-10-31,163
2010-11-30,156
2010-12-31,173
2011-01-31,177
2011-02-28,292
2011-03-31,431
2011-04-30,382
2011-05-31,306
2011-06-30,313
2011-07-31,286
2011-08-31,258
2011-09-30,267
2011-10-31,401
2011-11-30,433
2011-12-31,388
2012-01-31,461
2012-02-29,558
2012-03-31,579
2012-04-30,624
2012-05-31,542
2012-06-30,525
2012-07-31,561
2012-08-31,599
2012-09-30,553
2012-10-31,755
2012-11-30,848
2012-12-31,663
2013-01-31,728
2013-02-28,817
2013-03-31,1000
2013-04-30,1060
2013-05-31,1025
2013-06-30,906
2013-07-31,997
2013-08-31,915
2013-09-30,899
2013-10-31,1117
2013-11-30,1211
2013-12-31,1037
2014-01-31,1122
2014-02-28,1244
2014-03-31,1433
2014-04-30,1421
2014-05-31,1264
2014-06-30,1036
2014-07-31,1114
2014-08-31,928
2014-09-30,1077
2014-10-31,1238
2014-11-30,1245
2014-12-31,996
2015-01-31,1019
2015-02-28,1196
2015-03-31,1393
2015-04-30,1535
2015-05-31,1405
2015-06-30,1227
2015-07-31,1132
2015-08-31,1027
2015-09-30,942
2015-10-31,1062
2015-11-30,1126
2015-12-31,864
2016-01-31,937
2016-02-29,1082
2016-03-31,1248
2016-04-30,1127
2016-05-31,1145
2016-06-30,1001
2016-07-31,905
2016-08-31,941
2016-09-30,852
2016-10-31,901
2016-11-30,786
2016-12-31,718
2017-01-31,796
2017-02-28,854
2017-03-31,1080
2017-04-30,959
2017-05-31,1005
2017-06-30,804
2017-07-31,736
2017-08-31,776
2017-09-30,662
2017-10-31,848
2017-11-30,875
2017-12-31,583
2018-01-31,577
2018-02-28,537
2018-03-31,563
2018-04-30,605
2018-05-31,529
2018-06-30,458
2018-07-31,463
2018-08-31,404
2018-09-30,431
2018-10-31,519
2018-11-30,500
2018-12-31,413
2019-01-31,410
2019-02-28,364
2019-03-31,458
2019-04-30,492
2019-05-31,462
2019-06-30,365
2019-07-31,386
2019-08-31,371
2019-09-30,362
2019-10-31,523
2019-11-30,479
2019-12-31,349
